"Relative Time (Process)","stage2-uvit-20260526-011258 - system/gpu.0.memoryAllocated","stage2-uvit-20260526-011258 - system/gpu.0.memoryAllocated__MIN","stage2-uvit-20260526-011258 - system/gpu.0.memoryAllocated__MAX"
"16.355302813","50.80020558540954","50.80020558540954","50.80020558540954"
"31.356225667","50.83175582152744","50.83175582152744","50.83175582152744"
"46.356920427","50.936075150626934","50.936075150626934","50.936075150626934"
"61.356180233","50.7678920371275","50.7678920371275","50.7678920371275"
"76.374928889","50.87933561309234","50.87933561309234","50.87933561309234"
"91.356194262","50.29769174401564","50.29769174401564","50.29769174401564"
"106.355829167","50.29769174401564","50.29769174401564","50.29769174401564"
"121.356588167","50.29769174401564","50.29769174401564","50.29769174401564"
"136.356677347","50.256981761928024","50.256981761928024","50.256981761928024"
"151.3559144","50.25011195245074","50.25011195245074","50.25011195245074"
"166.356416569","50.25011195245074","50.25011195245074","50.25011195245074"
"181.356629463","50.37834839602671","50.37834839602671","50.37834839602671"
"196.355980981","50.358502279759","50.358502279759","50.358502279759"
"211.355908197","50.29972724312002","50.29972724312002","50.29972724312002"
"226.355315949","50.149354746783914","50.149354746783914","50.149354746783914"
"241.356278902","50.19413572708028","50.19413572708028","50.19413572708028"
"256.356920445","50.20202328610976","50.20202328610976","50.20202328610976"
"271.356972071","50.08116552678716","50.08116552678716","50.08116552678716"
"286.356158527","50.05750284969874","50.05750284969874","50.05750284969874"
"301.356099855","50.05750284969874","50.05750284969874","50.05750284969874"
"316.355586523","50.118567822830165","50.118567822830165","50.118567822830165"
"331.35680375","50.1150056993975","50.1150056993975","50.1150056993975"
"346.355495857","50.1150056993975","50.1150056993975","50.1150056993975"
"361.355086052","50.1150056993975","50.1150056993975","50.1150056993975"
"376.355977075","50.20253216088585","50.20253216088585","50.20253216088585"
"391.355397287","50.24731314118222","50.24731314118222","50.24731314118222"
"406.356235787","50.18344935678228","50.18344935678228","50.18344935678228"
"421.356398934","50.17530736036476","50.17530736036476","50.17530736036476"
"436.355816422","50.18930141670738","50.18930141670738","50.18930141670738"
"451.356601714","50.18930141670738","50.18930141670738","50.18930141670738"
"466.355936951","50.18930141670738","50.18930141670738","50.18930141670738"
"481.355982817","50.18930141670738","50.18930141670738","50.18930141670738"
"496.355687911","50.24985751506269","50.24985751506269","50.24985751506269"
"511.356291367","50.16792867611139","50.16792867611139","50.16792867611139"
"526.355863033","50.1814138576779","50.1814138576779","50.1814138576779"
"541.355977066","50.16538430223091","50.16538430223091","50.16538430223091"
"556.356042187","50.17403517342453","50.17403517342453","50.17403517342453"
"571.357242187","50.15215355805244","50.15215355805244","50.15215355805244"
"586.355837289","50.15113580850025","50.15113580850025","50.15113580850025"
"601.35681738","50.15113580850025","50.15113580850025","50.15113580850025"
"616.355287758","50.132561879172776","50.132561879172776","50.132561879172776"
"631.355507853","50.13485181566521","50.13485181566521","50.13485181566521"
"646.355683655","50.124419882755255","50.124419882755255","50.124419882755255"
"661.355850566","50.124419882755255","50.124419882755255","50.124419882755255"
"676.356210745","50.15495236932096","50.15495236932096","50.15495236932096"
"691.355781832","50.10050276827879","50.10050276827879","50.10050276827879"
"706.355406985","50.119585572382356","50.119585572382356","50.119585572382356"
"721.355512723","50.029769174401565","50.029769174401565","50.029769174401565"
"736.355173863","50.02798811268523","50.02798811268523","50.02798811268523"
"751.355703903","50.03714785865494","50.03714785865494","50.03714785865494"
"766.355561925","50.036638983878845","50.036638983878845","50.036638983878845"
"781.355784708","50.32924198013353","50.32924198013353","50.32924198013353"
"796.355355601","50.253928513271454","50.253928513271454","50.253928513271454"
"811.355736869","50.25265632633121","50.25265632633121","50.25265632633121"
"826.355593751","50.20660315909461","50.20660315909461","50.20660315909461"
"841.355612144","50.20660315909461","50.20660315909461","50.20660315909461"
"856.356162019","94.75680874450416","94.75680874450416","94.75680874450416"
"871.355226116","94.78937673017424","94.78937673017424","94.78937673017424"
"886.355795935","94.7410336264452","94.7410336264452","94.7410336264452"
"901.356076708","94.74052475166911","94.74052475166911","94.74052475166911"
"916.355768863","94.74052475166911","94.74052475166911","94.74052475166911"
"931.356225223","96.12720851652826","96.12720851652826","96.12720851652826"
"946.355731662","94.70006920696954","94.70006920696954","94.70006920696954"
"961.355955754","94.69981476958151","94.69981476958151","94.69981476958151"
"976.355222593","94.69981476958151","94.69981476958151","94.69981476958151"
"991.355385029","94.69981476958151","94.69981476958151","94.69981476958151"
"1006.355394848","94.69981476958151","94.69981476958151","94.69981476958151"
"1021.355681216","94.69981476958151","94.69981476958151","94.69981476958151"
"1036.356500898","94.6591047874939","94.6591047874939","94.6591047874939"
"1051.355466838","94.6591047874939","94.6591047874939","94.6591047874939"
"1066.355540625","94.6591047874939","94.6591047874939","94.6591047874939"
"1081.357323449","94.6591047874939","94.6591047874939","94.6591047874939"
"1096.356411408","94.6591047874939","94.6591047874939","94.6591047874939"
"1111.355362133","94.65096279107638","94.65096279107638","94.65096279107638"
"1126.355994142","94.68887396189545","94.68887396189545","94.68887396189545"
"1141.358024167","94.6687734082397","94.6687734082397","94.6687734082397"
"1156.355805792","94.75324662107148","94.75324662107148","94.75324662107148"
"1171.355744146","94.70897451555122","94.70897451555122","94.70897451555122"
"1186.355202889","94.70897451555122","94.70897451555122","94.70897451555122"
"1201.355659957","94.7415425012213","94.7415425012213","94.7415425012213"
"1216.355487406","50.12416544536721","50.12416544536721","50.12416544536721"
"1231.355275184","50.0994850187266","50.0994850187266","50.0994850187266"
"1246.355450675","50.110425826412644","50.110425826412644","50.110425826412644"
"1261.35583602","50.13637843999349","50.13637843999349","50.13637843999349"
"1276.357566746","50.092869646637354","50.092869646637354","50.092869646637354"
"1291.356482064","50.092869646637354","50.092869646637354","50.092869646637354"
"1306.355391871","50.09057971014492","50.09057971014492","50.09057971014492"
"1321.355386725","50.09872170656246","50.09872170656246","50.09872170656246"
"1336.356671283","50.01526624328285","50.01526624328285","50.01526624328285"
"1351.355940301","50.01628399283504","50.01628399283504","50.01628399283504"
"1366.356046812","50.01628399283504","50.01628399283504","50.01628399283504"
"1381.355630809","50.01628399283504","50.01628399283504","50.01628399283504"
"1396.355575682","50.00814199641752","50.00814199641752","50.00814199641752"
"1411.355584299","49.994656814851","49.994656814851","49.994656814851"
"1426.356361626","49.939189464256636","49.939189464256636","49.939189464256636"
"1441.356166428","49.939189464256636","49.939189464256636","49.939189464256636"
"1456.355473816","49.939189464256636","49.939189464256636","49.939189464256636"
"1471.356239238","49.939189464256636","49.939189464256636","49.939189464256636"
"1486.355472779","49.939189464256636","49.939189464256636","49.939189464256636"
"1501.357521076","49.939189464256636","49.939189464256636","49.939189464256636"
"1516.355233201","49.939189464256636","49.939189464256636","49.939189464256636"
"1531.355575169","49.939189464256636","49.939189464256636","49.939189464256636"
"1546.355640551","49.939189464256636","49.939189464256636","49.939189464256636"
"1561.355999196","49.94682258589806","49.94682258589806","49.94682258589806"
"1576.355598005","49.963615453509206","49.963615453509206","49.963615453509206"
"1591.355150841","49.999491125223905","49.999491125223905","49.999491125223905"
"1606.356126453","50.02111830320794","50.02111830320794","50.02111830320794"
"1621.355899673","50.019591678879664","50.019591678879664","50.019591678879664"
"1636.35609954","50.02697036313304","50.02697036313304","50.02697036313304"
"1651.356084174","50.009668620745806","50.009668620745806","50.009668620745806"
"1666.355865906","50.00712424686533","50.00712424686533","50.00712424686533"
"1681.355885361","50.025698176192805","50.025698176192805","50.025698176192805"
"1696.356213429","50.0048343103729","50.0048343103729","50.0048343103729"
"1711.356155097","50.0048343103729","50.0048343103729","50.0048343103729"
"1726.355483208","49.95038470933073","49.95038470933073","49.95038470933073"
"1741.355692272","49.95038470933073","49.95038470933073","49.95038470933073"
"1756.356050644","49.95038470933073","49.95038470933073","49.95038470933073"
"1771.356207541","49.95038470933073","49.95038470933073","49.95038470933073"
"1786.35673671","49.95038470933073","49.95038470933073","49.95038470933073"
"1801.355787598","50.02544373880475","50.02544373880475","50.02544373880475"
"1816.374109607","49.97710063507572","49.97710063507572","49.97710063507572"
"1831.355380439","49.97710063507572","49.97710063507572","49.97710063507572"
"1846.355931811","50.07327796775769","50.07327796775769","50.07327796775769"
"1861.355905999","49.97404738641915","49.97404738641915","49.97404738641915"
"1876.355603248","49.97404738641915","49.97404738641915","49.97404738641915"
"1891.355726108","49.97404738641915","49.97404738641915","49.97404738641915"
"1906.355479449","49.99262131574662","49.99262131574662","49.99262131574662"
"1921.355691381","49.968449763882106","49.968449763882106","49.968449763882106"
"1936.355858971","50.02722480052108","50.02722480052108","50.02722480052108"
"1951.356032461","50.0412188568637","50.0412188568637","50.0412188568637"
"1966.355318344","49.97659176029963","49.97659176029963","49.97659176029963"
"1981.35533977","49.97659176029963","49.97659176029963","49.97659176029963"
"1996.355357901","49.97659176029963","49.97659176029963","49.97659176029963"
"2011.355327964","49.951402458882924","49.951402458882924","49.951402458882924"
"2026.355461889","49.959544455300446","49.959544455300446","49.959544455300446"
"2041.356511691","49.91908891060088","49.91908891060088","49.91908891060088"
"2056.355499865","50.11373351245726","50.11373351245726","50.11373351245726"
"2071.355873021","50.231792460511315","50.231792460511315","50.231792460511315"
"2086.35569482","49.66490595994138","49.66490595994138","49.66490595994138"
"2101.35624684","50.576046246539654","50.576046246539654","50.576046246539654"
"2116.356152339","50.186757042826905","50.186757042826905","50.186757042826905"
"2131.356166523","50.17632510991695","50.17632510991695","50.17632510991695"
"2146.355665835","50.17785173424524","50.17785173424524","50.17785173424524"
"2161.35520112","50.151390245888294","50.151390245888294","50.151390245888294"
"2176.35687128","50.17556179775281","50.17556179775281","50.17556179775281"
"2191.355495696","49.52827308255984","49.52827308255984","49.52827308255984"
"2206.355243367","49.531580768604464","49.531580768604464","49.531580768604464"
"2221.355321222","49.50486484285947","49.50486484285947","49.50486484285947"
"2236.35547855","49.48298322748738","49.48298322748738","49.48298322748738"
"2251.355461825","49.49774059599414","49.49774059599414","49.49774059599414"
"2266.355676707","49.49774059599414","49.49774059599414","49.49774059599414"
"2281.355894979","49.48298322748738","49.48298322748738","49.48298322748738"
"2296.355881483","49.509699153232376","49.509699153232376","49.509699153232376"
"2311.356751585","49.474332356293765","49.474332356293765","49.474332356293765"
"2326.356091854","49.481456603159096","49.481456603159096","49.481456603159096"
"2341.35551623","49.470261358085004","49.470261358085004","49.470261358085004"
"2356.355824097","49.46313711121967","49.46313711121967","49.46313711121967"
"2371.355687279","49.470261358085004","49.470261358085004","49.470261358085004"
"2386.355248333","49.46313711121967","49.46313711121967","49.46313711121967"
"2401.356400184","49.46466373554796","49.46466373554796","49.46466373554796"
"2416.355237301","49.446853118384624","49.446853118384624","49.446853118384624"
"2431.355787255","49.519622211366226","49.519622211366226","49.519622211366226"
"2446.355722848","49.46491817293601","49.46491817293601","49.46491817293601"
"2461.355835881","49.42955137599739","49.42955137599739","49.42955137599739"
"2476.355175847","49.45448624002605","49.45448624002605","49.45448624002605"
"2491.35577705","49.4343856863703","49.4343856863703","49.4343856863703"
"2506.356667652","49.4343856863703","49.4343856863703","49.4343856863703"
"2521.355359621","49.43820224719101","49.43820224719101","49.43820224719101"
"2536.355765334","49.36314321771698","49.36314321771698","49.36314321771698"
"2551.355844644","49.36823196547794","49.36823196547794","49.36823196547794"
"2566.355665414","49.3509302230907","49.3509302230907","49.3509302230907"
"2581.355332541","49.38426152092493","49.38426152092493","49.38426152092493"
"2596.355774378","49.32752198339033","49.32752198339033","49.32752198339033"
"2611.355187527","49.33464623025566","49.33464623025566","49.33464623025566"
"2626.355768333","49.32752198339033","49.32752198339033","49.32752198339033"
"2641.356047075","49.39342126689464","49.39342126689464","49.39342126689464"
"2656.355637629","95.88040425012213","95.88040425012213","95.88040425012213"
"2671.355706313","95.8625936329588","95.8625936329588","95.8625936329588"
"2686.35569972","95.82315583781144","95.82315583781144","95.82315583781144"
"2701.355790008","95.76209086468002","95.76209086468002","95.76209086468002"
"2716.35609789","95.88142199967432","95.88142199967432","95.88142199967432"
"2731.356050323","95.85699601042175","95.85699601042175","95.85699601042175"
"2746.355240357","95.84503745318352","95.84503745318352","95.84503745318352"
"2761.356003721","95.85292501221299","95.85292501221299","95.85292501221299"
"2776.356417773","95.83816764370624","95.83816764370624","95.83816764370624"
"2791.355537344","95.87404331542095","95.87404331542095","95.87404331542095"
"2806.355756812","95.86488356945124","95.86488356945124","95.86488356945124"
"2821.355648059","95.82951677251262","95.82951677251262","95.82951677251262"
"2836.355783465","95.83816764370624","95.83816764370624","95.83816764370624"
"2851.355171064","95.82951677251262","95.82951677251262","95.82951677251262"
"2866.355403668","95.86488356945124","95.86488356945124","95.86488356945124"
"2881.355329225","95.86488356945124","95.86488356945124","95.86488356945124"
"2896.355936545","95.83816764370624","95.83816764370624","95.83816764370624"
"2911.355618746","95.88727405959942","95.88727405959942","95.88727405959942"
"2926.355457928","95.87735100146556","95.87735100146556","95.87735100146556"
"2941.355541208","95.85114395049666","95.85114395049666","95.85114395049666"
"2956.356057092","95.82951677251262","95.82951677251262","95.82951677251262"
"2971.356290279","95.82951677251262","95.82951677251262","95.82951677251262"
"2986.355549668","49.33617285458394","49.33617285458394","49.33617285458394"
"3001.35612059","49.33439179286761","49.33439179286761","49.33439179286761"
"3016.356033647","49.31200130271943","49.31200130271943","49.31200130271943"
"3031.355970896","49.33439179286761","49.33439179286761","49.33439179286761"
"3046.355737319","49.31200130271943","49.31200130271943","49.31200130271943"
"3061.355256727","49.32828529555447","49.32828529555447","49.32828529555447"
"3076.355569098","49.30767586712262","49.30767586712262","49.30767586712262"
"3091.355929954","49.30767586712262","49.30767586712262","49.30767586712262"
"3106.355850733","49.33439179286761","49.33439179286761","49.33439179286761"
"3121.355512481","49.32294211040547","49.32294211040547","49.32294211040547"
"3136.355930279","49.312255740107474","49.312255740107474","49.312255740107474"
"3151.356740192","49.30767586712262","49.30767586712262","49.30767586712262"
"3166.356026689","49.30767586712262","49.30767586712262","49.30767586712262"
"3181.356094103","49.36390652988113","49.36390652988113","49.36390652988113"
"3196.355903571","49.36390652988113","49.36390652988113","49.36390652988113"
"3211.355891524","49.48985303696467","49.48985303696467","49.48985303696467"
"3226.355686786","49.32701310861423","49.32701310861423","49.32701310861423"
"3241.355382518","49.32879417033057","49.32879417033057","49.32879417033057"
"3256.356835148","49.389859143461976","49.389859143461976","49.389859143461976"
"3271.356074096","49.36314321771698","49.36314321771698","49.36314321771698"
"3286.356207963","49.36237990555284","49.36237990555284","49.36237990555284"
"3301.357317793","49.29698949682462","49.29698949682462","49.29698949682462"
"3316.356101485","49.305385930630194","49.305385930630194","49.305385930630194"
"3331.355674399","49.30513149324214","49.30513149324214","49.30513149324214"
"3346.355705347","49.30513149324214","49.30513149324214","49.30513149324214"
"3361.355942558","49.30513149324214","49.30513149324214","49.30513149324214"
"3376.355240918","49.30513149324214","49.30513149324214","49.30513149324214"
