"Step","stage2-uvit-20260526-011258 - epoch","stage2-uvit-20260526-011258 - epoch__MIN","stage2-uvit-20260526-011258 - epoch__MAX"
"1437","11","11","11"
"1447","11","11","11"
"1448","11","11","11"
"1449","11","11","11"
"1450","11","11","11"
"1453","11","11","11"
"1458","11","11","11"
"1459","11","11","11"
"1462","11","11","11"
"1465","11","11","11"
"1466","11","11","11"
"1471","11","11","11"
"1473","11","11","11"
"1475","11","11","11"
"1487","11","11","11"
"1488","11","11","11"
"1491","11","11","11"
"1495","11","11","11"
"1501","11","11","11"
"1502","11","11","11"
"1508","11","11","11"
"1512","11","11","11"
"1513","11","11","11"
"1526","11","11","11"
"1532","11","11","11"
"1538","11","11","11"
"1540","11","11","11"
"1541","11","11","11"
"1542","11","11","11"
"1547","11","11","11"
"1548","11","11","11"
"1551","11","11","11"
"1552","11","11","11"
"1556","11","11","11"
"1559","11","11","11"
"1561","11","11","11"
"1573","11","11","11"
"1575","11","11","11"
"1577","11","11","11"
"1586","11","11","11"
"1589","11","11","11"
"1590","11","11","11"
"1593","11","11","11"
"1599","11","11","11"
"1601","11","11","11"
"1608","11","11","11"
"1614","11","11","11"
"1617","11","11","11"
"1628","11","11","11"
"1634","11","11","11"
"1644","11","11","11"
"1651","11","11","11"
"1653","11","11","11"
"1658","11","11","11"
"1659","11","11","11"
"1666","11","11","11"
"1674","11","11","11"
"1676","11","11","11"
"1687","11","11","11"
"1691","11","11","11"
"1701","11","11","11"
"1703","11","11","11"
"1706","11","11","11"
"1708","11","11","11"
"1710","11","11","11"
"1713","11","11","11"
"1715","11","11","11"
"1717","11","11","11"
"1719","11","11","11"
"1721","11","11","11"
"1723","11","11","11"
"1725","11","11","11"
"1726","11","11","11"
"1728","11","11","11"
"1731","11","11","11"
"1733","11","11","11"
"1735","11","11","11"
"1742","11","11","11"
"1753","11","11","11"
"1761","11","11","11"
"1763","11","11","11"
"1769","11","11","11"
"1771","11","11","11"
"1774","11","11","11"
"1781","11","11","11"
"1782","11","11","11"
"1783","11","11","11"
"1793","11","11","11"
"1797","11","11","11"
"1799","11","11","11"
"1801","11","11","11"
"1802","11","11","11"
"1804","11","11","11"
"1809","11","11","11"
"1811","11","11","11"
"1815","11","11","11"
"1820","11","11","11"
"1822","11","11","11"
"1823","11","11","11"
"1829","11","11","11"
"1831","11","11","11"
"1833","11","11","11"
"1834","11","11","11"
"1837","11","11","11"
"1841","11","11","11"
"1844","11","11","11"
"1847","11","11","11"
"1860","11","11","11"
"1862","11","11","11"
"1863","11","11","11"
"1868","11","11","11"
"1870","11","11","11"
"1875","11","11","11"
"1879","11","11","11"
"1883","11","11","11"
"1890","11","11","11"
"1894","11","11","11"
"1898","11","11","11"
"1911","11","11","11"
"1934","11","11","11"
"1940","11","11","11"
"1945","11","11","11"
"1949","11","11","11"
"1952","11","11","11"
"1957","11","11","11"
"1960","11","11","11"
"1967","11","11","11"
"1973","11","11","11"
"1980","11","11","11"
"1984","11","11","11"
"1986","11","11","11"
"1992","11","11","11"
"2001","11","11","11"
"2007","11","11","11"
"2013","11","11","11"
"2015","11","11","11"
"2017","11","11","11"
"2027","11","11","11"
"2029","11","11","11"
"2035","11","11","11"
"2040","11","11","11"
"2043","11","11","11"
"2047","11","11","11"
"2050","11","11","11"
"2056","11","11","11"
"2068","11","11","11"
"2069","11","11","11"
"2077","11","11","11"
"2081","11","11","11"
"2091","11","11","11"
"2093","11","11","11"
"2099","11","11","11"
"2102","11","11","11"
"2103","11","11","11"
"2106","11","11","11"
"2111","11","11","11"
"2131","11","11","11"
"2132","11","11","11"
"2136","11","11","11"
"2138","11","11","11"
"2139","11","11","11"
"2142","11","11","11"
"2144","11","11","11"
"2147","11","11","11"
"2153","11","11","11"
"2157","11","11","11"
"2159","11","11","11"
"2160","11","11","11"
"2165","11","11","11"
"2166","11","11","11"
"2167","11","11","11"
"2172","11","11","11"
"2181","11","11","11"
"2185","11","11","11"
"2186","11","11","11"
"2188","11","11","11"
"2190","11","11","11"
"2193","11","11","11"
"2200","11","11","11"
"2201","11","11","11"
"2202","11","11","11"
"2204","11","11","11"
"2209","11","11","11"
"2210","11","11","11"
"2214","11","11","11"
"2220","11","11","11"
"2233","11","11","11"
"2248","11","11","11"
"2261","11","11","11"
"2264","11","11","11"
"2266","11","11","11"
"2272","11","11","11"
"2273","11","11","11"
"2276","11","11","11"
"2281","11","11","11"
"2284","11","11","11"
"2296","11","11","11"
"2303","11","11","11"
"2322","11","11","11"
"2329","11","11","11"
"2335","11","11","11"
"2337","11","11","11"
"2339","11","11","11"
"2341","11","11","11"
"2344","11","11","11"
"2347","11","11","11"
"2353","11","11","11"
"2357","11","11","11"
"2358","11","11","11"
"2360","11","11","11"
"2364","11","11","11"
"2374","11","11","11"
"2376","11","11","11"
"2379","11","11","11"
"2381","11","11","11"
"2383","11","11","11"
"2389","11","11","11"
"2397","11","11","11"
"2399","11","11","11"
"2401","11","11","11"
"2407","11","11","11"
"2411","11","11","11"
"2416","11","11","11"
"2420","11","11","11"
"2422","11","11","11"
"2423","11","11","11"
"2429","11","11","11"
"2430","11","11","11"
"2455","11","11","11"
"2460","11","11","11"
"2481","11","11","11"
"2486","11","11","11"
"2488","11","11","11"
"2489","11","11","11"
"2492","11","11","11"
"2502","11","11","11"
"2506","11","11","11"
"2511","11","11","11"
"2512","11","11","11"
"2521","11","11","11"
"2522","11","11","11"
"2523","11","11","11"
"2527","11","11","11"
"2534","11","11","11"
"2538","11","11","11"
"2543","11","11","11"
"2549","11","11","11"
"2550","11","11","11"
"2552","11","11","11"
"2564","11","11","11"
"2566","11","11","11"
"2569","11","11","11"
"2573","11","11","11"
"2574","11","11","11"
"2579","11","11","11"
"2581","11","11","11"
"2584","11","11","11"
"2587","11","11","11"
"2591","11","11","11"
"2594","11","11","11"
"2595","11","11","11"
"2600","11","11","11"
"2607","11","11","11"
"2613","11","11","11"
"2616","11","11","11"
"2622","11","11","11"
"2625","11","11","11"
"2647","11","11","11"
"2650","11","11","11"
"2656","11","11","11"
"2663","11","11","11"
"2664","11","11","11"
"2671","11","11","11"
"2673","11","11","11"
"2674","11","11","11"
"2677","11","11","11"
"2684","11","11","11"
"2685","11","11","11"
"2701","11","11","11"
"2706","11","11","11"
"2708","11","11","11"
"2710","11","11","11"
"2713","11","11","11"
"2715","11","11","11"
"2718","11","11","11"
"2726","11","11","11"
"2733","11","11","11"
"2739","11","11","11"
"2740","11","11","11"
"2751","11","11","11"
"2753","11","11","11"
"2774","11","11","11"
"2792","11","11","11"
"2798","11","11","11"
"2799","11","11","11"
"2816","11","11","11"
"2817","11","11","11"
"2822","11","11","11"
"2834","11","11","11"
"2837","11","11","11"
"2840","11","11","11"
"2845","11","11","11"
"2848","11","11","11"
"2850","11","11","11"
"2860","11","11","11"
"2861","11","11","11"
"2864","11","11","11"
"2866","11","11","11"
"2872","11","11","11"
"2875","11","11","11"
"2885","11","11","11"
"2894","11","11","11"
"2903","11","11","11"
"2910","11","11","11"
"2912","11","11","11"
"2917","11","11","11"
"2919","11","11","11"
"2928","11","11","11"
"2930","11","11","11"
"2939","11","11","11"
"2940","11","11","11"
"2942","11","11","11"
"2947","11","11","11"
"2951","11","11","11"
"2955","11","11","11"
"2959","11","11","11"
"2965","11","11","11"
"2972","11","11","11"
"2976","11","11","11"
"2978","11","11","11"
"2984","11","11","11"
"2989","11","11","11"
"2990","11","11","11"
"2993","11","11","11"
"2997","11","11","11"
"3004","11","11","11"
"3010","11","11","11"
"3018","11","11","11"
"3019","11","11","11"
"3025","11","11","11"
"3028","11","11","11"
"3030","11","11","11"
"3031","11","11","11"
"3033","11","11","11"
"3036","11","11","11"
"3043","11","11","11"
"3045","11","11","11"
"3053","11","11","11"
"3058","11","11","11"
"3067","11","11","11"
"3069","11","11","11"
"3070","11","11","11"
"3071","11","11","11"
"3074","11","11","11"
"3084","11","11","11"
"3086","11","11","11"
"3092","11","11","11"
"3097","11","11","11"
"3098","11","11","11"
"3109","11","11","11"
"3112","11","11","11"
"3118","11","11","11"
"3122","11","11","11"
"3123","11","11","11"
"3125","11","11","11"
"3151","11","11","11"
"3154","11","11","11"
"3156","11","11","11"
"3164","11","11","11"
"3168","11","11","11"
"3172","11","11","11"
"3177","11","11","11"
"3192","11","11","11"
"3200","11","11","11"
"3203","11","11","11"
"3207","11","11","11"
"3209","11","11","11"
"3213","11","11","11"
"3215","11","11","11"
"3216","11","11","11"
"3222","11","11","11"
"3224","11","11","11"
"3225","11","11","11"
"3231","11","11","11"
"3239","11","11","11"
"3252","11","11","11"
"3264","11","11","11"
"3274","11","11","11"
"3275","11","11","11"
"3277","11","11","11"
"3282","11","11","11"
"3297","11","11","11"
"3305","11","11","11"
"3307","11","11","11"
"3317","11","11","11"
"3319","11","11","11"
"3329","11","11","11"
"3333","11","11","11"
"3336","11","11","11"
"3338","11","11","11"
"3342","11","11","11"
"3344","11","11","11"
"3354","11","11","11"
"3357","11","11","11"
"3361","11","11","11"
"3365","11","11","11"
"3366","11","11","11"
"3368","11","11","11"
"3373","11","11","11"
"3374","11","11","11"
"3377","11","11","11"
"3383","11","11","11"
"3386","11","11","11"
"3393","11","11","11"
"3394","11","11","11"
"3399","11","11","11"
"3400","11","11","11"
"3404","11","11","11"
"3418","11","11","11"
"3420","11","11","11"
"3422","11","11","11"
"3424","11","11","11"
"3430","11","11","11"
"3431","11","11","11"
"3442","11","11","11"
"3445","11","11","11"
"3447","11","11","11"
"3452","11","11","11"
"3472","11","11","11"
"3473","11","11","11"
"3484","11","11","11"
"3486","11","11","11"
"3487","11","11","11"
"3490","11","11","11"
"3493","11","11","11"
"3494","11","11","11"
"3495","11","11","11"
"3496","11","11","11"
"3504","11","11","11"
"3507","11","11","11"
"3512","11","11","11"
"3516","11","11","11"
"3526","11","11","11"
"3529","11","11","11"
"3530","11","11","11"
"3531","11","11","11"
"3536","11","11","11"
"3537","11","11","11"
"3544","11","11","11"
"3547","11","11","11"
"3558","11","11","11"
"3564","11","11","11"
"3567","11","11","11"
"3572","11","11","11"
"3576","11","11","11"
"3578","11","11","11"
"3584","11","11","11"
"3589","11","11","11"
"3592","11","11","11"
"3595","11","11","11"
"3596","11","11","11"
"3598","11","11","11"
"3600","11","11","11"
"3601","11","11","11"
"3602","11","11","11"
"3603","11","11","11"
"3609","11","11","11"
"3611","11","11","11"
"3614","11","11","11"
"3620","11","11","11"
"3624","11","11","11"
"3630","11","11","11"
"3634","11","11","11"
"3637","11","11","11"
"3641","11","11","11"
"3645","11","11","11"
"3649","11","11","11"
"3650","11","11","11"
"3656","11","11","11"
"3657","11","11","11"
"3668","11","11","11"
"3674","11","11","11"
"3677","11","11","11"
"3678","11","11","11"
"3679","11","11","11"
"3680","11","11","11"
"3684","11","11","11"
"3687","11","11","11"
"3700","11","11","11"
"3720","11","11","11"
"3724","11","11","11"
"3731","11","11","11"
"3738","11","11","11"
"3741","11","11","11"
"3745","11","11","11"
"3747","11","11","11"
"3749","11","11","11"
"3750","11","11","11"
"3751","11","11","11"
"3759","11","11","11"
"3766","11","11","11"
"3768","11","11","11"
"3771","11","11","11"
"3784","11","11","11"
"3790","11","11","11"
"3795","11","11","11"
"3801","11","11","11"
"3804","11","11","11"
"3813","11","11","11"
"3816","11","11","11"
"3819","11","11","11"
"3824","11","11","11"
"3827","11","11","11"
"3831","11","11","11"
"3837","11","11","11"
"3839","11","11","11"
"3841","11","11","11"
"3850","11","11","11"
"3851","11","11","11"
"3858","11","11","11"
"3862","11","11","11"
"3869","11","11","11"
"3871","11","11","11"
"3872","11","11","11"
"3879","11","11","11"
"3880","11","11","11"
"3882","11","11","11"
"3884","11","11","11"
"3888","11","11","11"
"3890","11","11","11"
"3893","11","11","11"
"3898","11","11","11"
"3905","11","11","11"
"3911","11","11","11"
"3915","11","11","11"
"3921","11","11","11"
"3922","11","11","11"
"3924","11","11","11"
"3926","11","11","11"
"3932","11","11","11"
"3938","11","11","11"
