"Step","stage2-uvit-20260526-131249 - epoch","stage2-uvit-20260526-131249 - epoch__MIN","stage2-uvit-20260526-131249 - epoch__MAX"
"1","19","19","19"
"2","19","19","19"
"3","19","19","19"
"4","19","19","19"
"5","19","19","19"
