"Step","stage2-uvit-20260526-011258 - train/loss","stage2-uvit-20260526-011258 - train/loss__MIN","stage2-uvit-20260526-011258 - train/loss__MAX"
"1","0.07295133918523788","0.07295133918523788","0.07295133918523788"
"12","0.11829691380262375","0.11829691380262375","0.11829691380262375"
"17","0.2347823679447174","0.2347823679447174","0.2347823679447174"
"18","0.10658510029315948","0.10658510029315948","0.10658510029315948"
"22","0.09812647104263306","0.09812647104263306","0.09812647104263306"
"26","0.1359596848487854","0.1359596848487854","0.1359596848487854"
"34","0.11964389681816101","0.11964389681816101","0.11964389681816101"
"36","0.11276103556156158","0.11276103556156158","0.11276103556156158"
"49","0.12188512086868286","0.12188512086868286","0.12188512086868286"
"59","0.1087786853313446","0.1087786853313446","0.1087786853313446"
"60","0.1533554494380951","0.1533554494380951","0.1533554494380951"
"64","0.07100950181484222","0.07100950181484222","0.07100950181484222"
"67","0.11385424435138702","0.11385424435138702","0.11385424435138702"
"71","0.0992516577243805","0.0992516577243805","0.0992516577243805"
"73","0.13133357465267181","0.13133357465267181","0.13133357465267181"
"77","0.061921074986457825","0.061921074986457825","0.061921074986457825"
"78","0.08086344599723816","0.08086344599723816","0.08086344599723816"
"80","0.10918286442756653","0.10918286442756653","0.10918286442756653"
"88","0.10180994868278503","0.10180994868278503","0.10180994868278503"
"92","0.17015059292316437","0.17015059292316437","0.17015059292316437"
"95","0.07465477287769318","0.07465477287769318","0.07465477287769318"
"97","0.14329522848129272","0.14329522848129272","0.14329522848129272"
"103","0.12655052542686462","0.12655052542686462","0.12655052542686462"
"106","0.13433563709259033","0.13433563709259033","0.13433563709259033"
"119","0.13666905462741852","0.13666905462741852","0.13666905462741852"
"126","0.09132977575063705","0.09132977575063705","0.09132977575063705"
"140","0.07820148766040802","0.07820148766040802","0.07820148766040802"
"143","0.12220649421215057","0.12220649421215057","0.12220649421215057"
"144","0.138449028134346","0.138449028134346","0.138449028134346"
"146","0.11670052260160446","0.11670052260160446","0.11670052260160446"
"149","0.08721600472927094","0.08721600472927094","0.08721600472927094"
"151","0.12532058358192444","0.12532058358192444","0.12532058358192444"
"153","0.10347987711429596","0.10347987711429596","0.10347987711429596"
"154","0.15505367517471313","0.15505367517471313","0.15505367517471313"
"155","0.12974493205547333","0.12974493205547333","0.12974493205547333"
"157","0.16469386219978333","0.16469386219978333","0.16469386219978333"
"160","0.10642194002866745","0.10642194002866745","0.10642194002866745"
"163","0.1524137705564499","0.1524137705564499","0.1524137705564499"
"164","0.16185931861400604","0.16185931861400604","0.16185931861400604"
"167","0.16787371039390564","0.16787371039390564","0.16787371039390564"
"171","0.11840298771858215","0.11840298771858215","0.11840298771858215"
